householdID,hhexp,hhexp_food,hhexp_med,hhexp_covidprev,ends_meet
0640282101,2000,500,500,200,2
0640282060,1000,270,5000,0,2
0640282160,1800,200,0,500,2
0640282090,2000,0,-1,-1,3
0640282190,2500,150,200,0,4
0640282250,2000,500,3000,0,3
0640282110,1600,200,8000,-1,2
0640282280,5000,600,5000,500,3
0640282240,10000,700,8000,50,3
0640282140,2000,300,3000,50,2
0640282020,50,400,0,0,3
0640333210,200,90,1000,15,2
0640333270,1000,300,0,0,3
0640333250,215,53,3500,28,1
0640333220,350,150,300,30,2
0640333300,1550,200,750,100,2
0640333410,648,80,1000,0,3
0640333240,500,100,5000,350,3
0640333330,1000,200,500,0,3
0640333060,600,5,4000,0,3
0640333010,300,0,3000,0,2
0640333310,200,60,3600,0,1
0640333030,200,100,200,30,2
0640333400,605,0,500,0,2
0640333360,225,0,500,0,1
0640333040,300,0,4800,20,2
0640333430,1000,100,200,0,3
0640333070,100,100,300,0,3
0640333260,300,80,12500,0,1
0640333080,500,200,4000,10,3
0640333340,500,200,2000,10,2
0640333190,1666,200,30000,5,3
0640333130,1000,0,0,50,2
0640333160,500,0,-1,-1,2
0640333350,300,80,750,0,2
0640333140,200,60,0,0,1
0640333180,1250,20,8400,0,2
0640333280,1000,200,15000,50,2
0640333380,833,300,0,0,3
0640333170,500,200,1000,-1,2
0640333020,300,75,300,0,3
0640333090,4000,200,15000,0,2
0640333290,1500,100,1200,0,3
0640333120,833,200,2000,0,2
0640333110,4500,300,7500,350,2
0640333320,1250,70,3000,20,3
0640333100,1000,300,0,-1,2
0640332210,500,80,38000,0,2
0640332340,200,75,1000,50,1
0640332070,4000,200,30000,200,1
0640332230,500,50,20000,50,3
0640332120,1500,500,2500,10,2
0640332190,500,1000,30000,500,2
0640332150,360,30,9000,0,3
0640332250,300,50,0,0,3
0640332130,950,100,2000,20,2
0640332320,2090,200,2000,100,3
0640332010,500,20,2000,35,2
0640332330,2500,200,3000,300,3
0640332080,4000,400,12000,500,2
0640332300,300,10,0,200,3
0640332030,500,150,6000,-1,1
0640332090,2500,500,4600,400,3
0640332060,3000,200,2000,500,3
0640332260,2000,150,3000,500,2
0640332200,2000,300,2000,50,3
0640332100,1000,0,2500,100,1
0640332280,3000,200,2000,200,1
0640332170,2000,200,2000,200,3
0640332310,2000,0,3000,150,1
0640332110,100,10,0,30,3
0640332350,1000,200,3000,0,4
0640332240,1000,50,6000,0,3
0640332160,600,80,2000,0,1
0640332290,583,400,3000,30,1
0640332020,1428,230,100,100,2
0640332180,500,0,1000,200,3
0640332140,1500,80,0,0,2
0640332220,1425,200,5000,0,2
0640332040,500,100,10000,3,3
0640331030,999,160,300,54,2
0640331220,2500,35,0,10,2
0640331080,300,55,0,0,3
0640331270,2500,20,5000,-1,3
0640331200,450,0,360,0,3
0640331230,833,0,12000,50,3
0640331300,1500,150,0,100,1
0640331190,300,300,0,0,3
0640331280,270,70,0,0,1
0640331090,1000,20,1000,100,1
0640331170,10000,200,0,300,3
0640331060,500,400,1500,20,2
0640331160,320,20,1000,0,3
0640331010,5000,100,150,-1,3
0640331240,700,20,1500,100,3
0640331290,3333,30,5000,-1,2
0640331020,300,0,0,0,3
0640331110,2000,100,0,-1,2
0640331250,840,200,840,50,3
0640331260,600,0,7200,0,3
0640331140,2500,500,15000,40,2
0640331130,3000,300,2000,450,3
0640331180,200,0,0,0,2
0640331120,234,5,0,0,2
0640331320,200,0,1500,150,1
0640331310,1055,80,30000,0,1
0640331150,500,0,0,30,3
0640331040,1000,500,200,30,3
0640331050,550,350,-1,-1,2
0640331070,2500,100,10000,0,3
0604813080,3000,200,15000,100,2
0604813100,1000,95,2000,100,3
0604813010,1000,250,0,0,2
0604813120,3000,300,100,30,2
0604813220,200,10,4200,300,2
0604813030,800,200,2000,20,2
0604813250,1000,50,0,0,2
0604813090,1000,200,4000,0,3
0604813060,2000,500,-1,-1,3
0604813070,1000,200,1000,60,2
0604813200,4000,100,3000,1000,2
0604813020,2000,700,1000,30,3
0604813130,1300,300,500,77,2
0604813310,800,150,2000,300,2
0604813160,1500,250,3500,0,3
0604813260,2000,120,6000,200,2
0604813280,1300,350,2300,0,3
0604813230,600,200,50000,50,2
0604813270,3000,350,8000,100,2
0604813290,3000,200,100,60,3
0604813210,1000,30,0,0,4
0604813050,5000,700,60000,500,3
0604813320,1100,200,2000,300,2
0604813040,500,50,2000,50,2
0604813300,5000,1000,300,100,3
0604813190,5000,150,1000,200,2
0604813110,3000,100,5000,100,2
0604813240,700,300,10000,100,3
0604811320,2500,100,0,200,3
0604811020,3000,150,20000,300,1
0604811360,350,300,2600,150,2
0604811180,700,200,0,300,2
0604811090,3000,150,3000,100,2
0604811110,2000,350,4000,150,2
0604811010,500,200,0,20,3
0604811250,1000,300,4300,200,2
0604811070,2000,2000,10000,2000,3
0604811140,3500,250,40000,0,2
0604811280,200,10,350,20,3
0604811040,1000,150,0,0,2
0604811080,2000,100,500,150,2
0604811230,2000,350,1500,100,2
0604811240,4000,300,0,100,2
0604811200,600,0,0,19,2
0604811120,2600,200,6,100,2
0604811330,300,20,2000,100,3
0604811100,2000,300,300,300,3
0604811220,90,70,0,20,2
0604811190,700,100,200,0,3
0604811300,282,0,3000,3,1
0604811060,3500,200,5000,350,3
0604811270,1500,300,20000,300,2
0604811170,500,0,3000,30,1
0604811290,2000,40,0,0,4
0604811210,700,100,4000,0,3
0604811400,1,70,0,20,1
0604811260,2000,600,5000,20,3
0604811350,2000,420,400,80,2
0604811380,606,50,100,0,1
0604811340,800,150,11200,150,1
0604811310,400,50,160,165,2
0604811150,500,150,1000,300,2
0604811130,700,150,1500,500,3
0604811160,3000,400,0,0,1
0604812080,1000,200,500,80,2
0604812300,2000,200,2000,10,3
0604812190,1000,400,6000,200,2
0604812360,5000,1250,0,1000,3
0604812380,1000,500,20,-1,1
0604812230,1000,300,0,100,2
0604812410,1000,300,0,0,3
0604812170,350,120,700,0,2
0604812120,1000,130,800,300,2
0604812180,2000,300,5000,300,2
0604812340,6500,150,2500,450,3
0604812050,2300,120,13000,800,2
0604812240,4000,300,2500,70,2
0604812420,1200,500,0,600,4
0604812070,700,300,0,-1,3
0604812390,1000,300,0,50,3
0604812220,1500,80,13000,40,3
0604812310,3000,500,10000,300,2
0604812260,2000,200,6000,0,1
0604812110,2600,260,6000,400,2
0604812400,4000,300,5000,100,2
0604812130,400,140,200,25,1
0604812030,1000,50,1000,50,3
0604812010,1000,140,7000,30,1
0604812320,1500,350,5000,50,3
0604812090,150,40,0,0,1
0604812330,800,200,2400,50,3
0604812160,200,100,0,50,2
0604812210,1100,850,600,100,2
0604812270,100,50,0,2,4
0604812370,3000,200,3000,100,2
0604812350,1000,350,5000,0,3
0604812020,500,40,0,0,3
0604812140,3000,100,-1,100,2
0604812060,400,100,960,50,3
0604812250,1000,200,4500,100,2
0604812290,3000,800,1000,200,2
0604812150,1000,0,9000,300,2
0604812040,6000,600,0,300,2
0604401160,767,195,2000,60,1
0604401240,3500,100,4000,300,2
0604401310,200,0,10000,10,3
0604401090,5000,200,13000,200,1
0604401200,3000,400,800,300,3
0604401060,2000,130,3900,50,4
0604401020,300,10,500,0,2
0604401170,2000,45,300,300,2
0604401070,2000,400,10000,30,2
0604401100,1000,100,1000,200,2
0604401050,1000,0,300,0,2
0604401370,1000,200,1500,80,1
0604401390,1500,150,0,200,3
0604401330,200,7,4000,0,1
0604401080,1000,300,0,0,2
0604401270,300,20,30000,0,1
0604401040,300,50,800,0,2
0604401300,550,150,2000,300,2
0604401340,300,30,0,0,2
0604401360,2000,300,10000,100,2
0604401150,2000,200,5000,100,2
0604401290,1800,200,1800,100,1
0604401260,1500,100,200,100,1
0604401320,2000,70,1300,100,2
0604401130,2000,300,2000,200,2
0604401380,500,0,0,0,2
0604401210,200,50,0,18,3
0604401350,1250,170,0,50,2
0604401180,1000,140,4000,0,3
0604401220,500,50,0,100,2
0604401140,2000,400,500,20,3
0604401280,1300,300,5000,-1,2
0604401110,600,250,3000,0,2
0604401250,1500,0,10000,0,3
0604401190,150,100,300,0,3
0604401030,200,0,0,0,3
0604401010,200,5,1000,0,1
0604402120,1000,100,4000,0,2
0604402190,530,100,3000,30,3
0604402240,2000,600,0,150,2
0604402160,600,20,0,20,2
0604402280,500,200,5000,100,2
0604402090,2500,200,2000,0,3
0604402040,300,100,0,100,2
0604402210,100,20,1000,0,2
0604402010,1000,100,15000,0,3
0604402270,400,300,400,100,1
0604402050,3000,150,3000,200,2
0604402220,200,150,180,0,3
0604402140,1000,0,3000,0,2
0604402150,1000,200,0,0,3
0604402260,2000,200,1000,20,2
0604402200,5000,300,20000,800,2
0604402110,100,7,300,0,2
0604402070,475,80,500,3,2
0604402170,500,300,400,100,1
0604402180,1500,30,1200,0,1
0604402100,350,200,0,0,1
0604402230,1000,200,0,0,2
0604402020,2000,2000,12000,0,1
0604402060,500,30,2000,100,2
0604402130,500,100,0,10,2
0604402030,700,8,5000,0,1
0604402250,10000,50,2000,50,2
0604403170,2300,10,10000,0,2
0604403060,3000,200,1000,200,2
0604403020,500,300,5000,-1,2
0604403160,510,30,3000,60,2
0604403010,2000,100,0,100,2
0604403090,350,50,500,0,2
0604403050,700,75,4000,0,3
0604403280,400,50,260,0,3
0604403310,752,70,2400,40,3
0604403200,2500,150,4500,100,2
0604403030,600,150,1100,0,3
0604403110,2000,300,4000,100,3
0604403180,500,70,2500,10,3
0604403140,30000,0,0,0,1
0604403250,1500,80,2030,20,3
0604403320,1000,25,0,25,2
0604403270,150,5,4000,0,1
0604403070,2000,50,3000,20,2
0604403260,800,300,600,48,3
0604403230,2000,45,10000,0,3
0604403290,850,65,0,25,2
0604403300,200,200,5000,100,3
0604403080,750,100,100,300,2
0604403190,1600,300,2000,20,2
0604403130,800,300,1500,140,2
0604403210,3000,0,3000,20,2
0655463340,500,0,-1,-1,3
0655463140,600,100,20000,0,1
0655463110,1000,200,200,0,3
0655463090,3900,600,6000,1300,1
0655463030,2500,400,10000,600,2
0655463310,1500,150,27000,80,2
0655463380,100,0,-1,0,2
0655463360,5000,300,30000,200,3
0655463210,2000,100,4000,100,3
0655463190,1500,300,5000,30,2
0655463120,1000,100,40000,400,1
0655463230,5000,600,12000,0,2
0655463150,3000,800,5000,1000,2
0655463250,2200,500,20000,30,2
0655463330,800,0,300,0,3
0655463260,800,100,10000,0,3
0655463290,2000,200,10000,100,2
0655463300,100,0,50,-1,3
0655463070,200,60,24000,0,2
0655463080,1000,70,300,100,3
0655463370,2000,200,4000,100,2
0655463270,300,300,30,0,1
0655463180,3000,5,73000,0,3
0655463100,3000,200,3000,200,2
0655463160,1200,300,20000,-1,2
0655463020,2000,300,2000,10,1
0655463060,400,80,1000,200,1
0655463280,1000,0,0,0,2
0655463220,500,100,0,0,1
0655463350,3000,300,0,200,3
0655463130,2300,0,0,500,2
0655461310,3000,100,0,0,2
0655461220,400,100,10000,0,2
0655461070,2000,1000,5000,50,2
0655461060,2000,500,0,300,2
0655461210,500,100,20000,100,2
0655461150,100,100,1000,0,3
0655461140,500,30,1500,0,2
0655461090,10000,500,5000,500,2
0655461300,3500,200,2000,100,3
0655461110,1700,100,5000,20,2
0655461320,1000,200,1000,200,2
0655461190,2500,100,12000,200,1
0655461240,3000,500,0,300,2
0655461120,2000,10,2000,20,4
0655461250,1000,500,0,100,2
0655461050,2000,100,0,30,2
0655461230,500,300,15000,0,2
0655461290,4500,500,3000,300,2
0655461180,2000,500,1600,40,2
0655461130,2500,1,5000,1000,1
0655461100,3000,330,600,-1,1
0655461080,1000,100,5000,0,2
0655461030,1200,300,300,100,3
0655461260,3000,300,3000,600,2
0655461270,3000,1000,6000,500,3
0655461020,1000,500,1000,200,3
0655461330,2000,350,5000,600,2
0655461160,2000,400,0,0,1
0655461040,3000,100,1500,100,3
0655461170,1000,300,0,100,3
0655462080,2000,100,14000,10,1
0655462140,200,100,0,100,2
0655462170,1000,200,3000,0,3
0655462150,2000,100,10000,200,3
0655462300,2000,300,1600,0,2
0655462220,2000,1120,42000,200,2
0655462100,500,200,600,50,2
0655462290,5000,300,0,300,1
0655462110,1000,700,30000,0,2
0655462040,1500,100,7000,0,3
0655462090,2000,300,8000,300,2
0655462120,1000,70,2000,0,1
0655462030,1000,300,1000,0,2
0655462230,3000,100,3000,0,3
0655462010,300,0,200,0,3
0655462200,300,50,0,200,2
0655462160,500,100,0,0,3
0655462250,2000,300,0,0,2
0655462270,1000,500,0,200,2
0655462260,2500,100,200,800,2
0655462210,1000,70,0,0,2
0655462060,500,0,20000,0,2
0655462180,1000,200,1000,0,3
0655462280,600,100,1500,100,1
0655462281,1000,0,0,0,2
0655462130,1000,150,1000,50,3
0655462190,700,200,10000,150,2
0655462070,1300,100,4800,0,2
0646042110,2000,300,5000,100,3
0646042200,4500,500,1200,200,2
0646042040,10000,100,5000,200,4
0646042120,3000,100,700,0,1
0646042060,4000,300,20000,500,3
0646042160,1000,280,600,100,3
0646042140,2000,500,1100,60,3
0646042180,2000,500,500,-1,2
0646042240,3000,600,5000,1500,2
0646042010,3000,400,150000,300,2
0646042170,3500,450,25000,260,3
0646043240,2000,200,4000,200,2
0646043010,2000,100,34000,80,2
0646043100,1800,500,12000,-1,2
0646043050,1000,100,1000,200,3
0646043040,1000,400,30000,800,1
0646043110,2000,210,120,200,3
0646043290,2000,300,150,20,3
0646043060,1570,80,41000,150,3
0646043190,5000,600,3600,100,3
0646043180,4000,400,3200,60,3
0646043140,3000,500,2000,2000,4
0646043170,8000,1000,136000,100,3
0646043160,1300,70,4200,0,4
0646043090,3000,240,1000,0,3
0646041120,4500,800,35000,500,3
0646041080,2500,500,6000,350,3
0646041290,5000,1000,400,0,3
0646041210,2000,100,0,200,3
0646041130,2400,550,2000,100,2
0646041280,5000,200,-1,100,3
0646041050,3000,350,7000,0,3
0646041140,800,100,500,60,3
0646041070,2700,350,4000,160,2
0646041010,2000,500,25000,60,2
0646041090,2000,1000,2000,0,2
0646041060,2200,500,0,0,3
0646041300,4000,700,2000,300,3
0646041100,1900,900,5000,300,3
0646041020,3000,800,6000,100,2
0646041250,4500,300,4000,100,4
0646041200,800,100,100,-1,3
0646041240,3000,200,15000,200,3
0646041180,1000,140,9000,-1,2
0646041340,5000,500,0,2000,2
0646041220,3000,500,0,50,3
0646041160,1560,200,5500,-1,3
0646041110,4000,525,15000,0,3
0646041150,3000,500,3150,100,3
0646041040,3000,700,600,-1,3
0646041230,1000,100,18000,200,3
0646041030,500,200,0,200,3
0646041260,1000,600,5300,30,3
0646041170,6200,600,18000,0,3
0646041270,4500,400,7000,350,3
1711591030,1000,170,20000,0,1
1711591340,1200,300,4000,200,2
1711591270,1000,50,10000,25,3
1711591050,200,400,20000,0,3
1711591040,500,300,0,40,2
1711591200,1000,200,15000,100,1
1711591060,500,150,0,200,2
1711591170,2000,300,-1,500,2
1711591140,417,200,12000,0,3
1711591260,580,0,2000,0,3
1711591360,1800,300,2300,0,2
1711591100,1000,100,200,0,1
1711591180,800,300,0,30,3
1711591250,2000,100,0,100,2
1711591240,4500,400,0,300,2
1711591110,600,200,0,0,3
1711591300,2200,200,0,100,2
1711591320,2400,300,300,100,3
1711591310,1000,200,2200,100,1
1711591120,500,50,0,20,2
1711591350,1000,500,200,100,2
1711591130,500,100,1000,0,2
1711591150,1000,200,10000,30,2
1711591080,2000,100,0,200,1
1711591070,2500,100,2500,100,3
1711591160,1000,100,15000,0,1
1711591220,410,10,2000,0,2
1711591090,1000,120,0,0,2
1711591190,600,120,2000,50,2
1711591330,500,200,0,40,3
1711591010,1000,50,1000,50,2
1711592210,200,15,1562,0,2
1711592130,108,0,80,0,1
1711592030,300,100,0,0,3
1711592220,830,200,4000,0,2
1711592110,450,86,100,12,3
1711592300,3500,200,26000,100,2
1711592180,365,40,30,15,3
1711592160,500,30,4000,0,1
1711592240,300,60,0,0,2
1711592090,1550,125,2000,30,2
1711592140,700,60,4000,0,2
1711592010,10000,120,0,100,3
1711592100,500,15,500,10,1
1711592050,1000,300,100,-1,2
1711592150,2000,200,12000,100,2
1711592190,4600,200,600,200,2
1711592350,2000,400,0,0,3
1711592250,350,200,1400,70,2
1711592340,5000,1800,10000,1000,1
1711592200,3000,200,1000,50,3
1711592070,3000,600,4000,200,3
1711592080,2000,200,3000,100,2
1711592040,750,40,6800,0,3
1711592120,300,150,25000,50,3
1711592310,1000,100,500,200,2
1711592060,3000,500,6100,360,3
1711592320,2000,500,500,300,3
1711592330,10000,350,20000,300,2
1711592290,1000,100,3000,40,2
1711592260,3500,200,300,100,2
1711592230,1200,130,1000,20,3
1711592280,1000,240,500,10,2
1711592020,4000,1000,0,200,2
1711592170,4000,300,10000,0,1
1711593110,850,70,8000,0,2
1711593060,200,0,4000,0,3
1711593020,6000,300,2000,200,2
1711593120,1750,300,2500,-1,2
1711593230,1200,100,2000,50,2
1711593190,1500,400,0,0,1
1711593090,300,200,1000,-1,2
1711593170,100,0,0,50,3
1711593250,1400,400,5000,400,2
1711593180,500,30,5000,0,3
1711593040,100,5,0,0,4
1711593130,400,400,500,30,2
1711593070,100,20,0,0,3
1711593010,100,20,500,0,3
1711593200,300,100,1000,0,3
1711593260,400,300,3000,0,1
1711593210,1000,0,200,5,1
1711593100,600,0,5000,-1,3
1711593160,927,100,10000,20,4
1711593140,700,100,10000,30,2
1711593030,1200,150,1000,20,2
1711593240,500,300,1500,0,4
1755312270,200,4,0,0,2
1755312200,1000,100,4000,200,2
1755312290,800,100,0,0,3
1755312030,1000,150,200,150,4
1755312090,700,20,35,0,1
1755312010,2000,150,0,-1,4
1755312160,400,20,0,0,1
1755312070,1000,200,0,-1,2
1755312220,297,20,600,-1,1
1755312260,1500,300,2000,300,2
1755312110,300,30,500,0,3
1755312240,1500,100,2000,50,3
1755312140,40,25,7000,0,2
1755312190,1000,200,0,0,3
1755312060,5000,500,1700,400,2
1755312170,100,0,0,100,1
1755312210,300,40,10000,0,2
1755312050,1000,500,25000,0,2
1755312100,3000,100,0,300,2
1755312310,5500,800,4000,300,2
1755312040,2000,70,1200,30,3
1755312120,1000,25,450,45,3
1755312250,4000,300,4000,1000,2
1755312300,2000,500,2000,500,1
1755312020,3600,280,0,0,2
1755312280,2000,160,1500,200,2
1755312080,20,20,-1,0,3
1755312330,2000,400,0,0,2
1755311160,3000,200,30000,300,2
1755311280,2000,50,1800,30,3
1755311210,5000,600,2000,500,3
1755311240,3000,500,3000,300,2
1755311130,1500,200,10000,0,3
1755311070,3000,300,30000,100,3
1755311250,2600,500,3000,200,2
1755311180,1000,300,500,0,3
1755311320,2000,200,0,80,2
1755311220,40,100,5000,500,3
1755311110,1800,300,0,25,3
1755311170,2000,350,4000,200,2
1755311120,5500,700,70000,300,3
1755311080,3000,350,0,0,3
1755311310,1800,1000,0,200,3
1755311330,3000,200,0,100,3
1755311030,3000,200,10000,1000,3
1755311040,1000,250,1400,50,3
1755311010,15000,600,10000,300,3
1755311020,5000,350,20000,2000,2
1755311290,1500,500,2000,100,4
1755311050,3200,800,13880,320,3
1755311200,2500,400,2500,60,4
1755311300,2000,300,5000,50,3
1755311190,3000,260,0,100,3
1755311100,5000,600,32100,200,3
1755313160,2000,1000,0,800,3
1755313190,833,75,2000,108,3
1755313100,200,0,0,0,2
1755313310,3000,300,4000,2000,2
1755313060,1000,300,0,100,2
1755313270,1300,10,0,-1,2
1755313260,2300,200,2400,0,4
1755313220,1000,200,5000,100,3
1755313180,2500,100,2000,0,2
1755313230,1400,200,2000,100,3
1755313320,1000,500,0,300,2
1755313150,500,100,500,50,3
1755313080,1700,200,600,120,2
1755313290,3000,500,5000,200,2
1755313090,300,20,300,20,3
1755313280,3000,300,0,30,2
1755313140,700,200,600,15,2
1755313050,600,30,5000,30,2
1755313130,10000,200,500,100,2
1755313040,3000,0,1100,0,1
1755313200,1300,300,1500,300,2
1755313030,1600,400,40000,90,3
1755313240,100,60,2000,100,3
1755313020,1000,200,630,120,2
1755313250,15000,300,-1,500,2
1755313070,500,150,-1,20,2
1755313010,500,100,0,200,2
1755313170,2000,200,1000,100,3
1755313110,500,30,0,150,3
1755313120,3000,300,0,-1,2
1755313300,1000,260,6000,50,2
1755313210,400,100,2000,0,2
1746431310,530,80,0,80,3
1746431180,31,0,0,0,1
1746431080,300,0,1000,0,2
1746431100,3655,260,1500,50,2
1746431340,1000,300,0,-1,2
1746431110,300,0,12000,0,3
1746431320,1000,200,0,0,2
1746431260,1000,100,1000,0,2
1746431240,50,0,27000,0,1
1746431210,300,80,3000,0,1
1746431350,1500,300,0,200,2
1746431170,305,20,800,40,3
1746431050,150,10,700,0,2
1746431020,5000,140,0,200,1
1746431230,1650,200,4300,15,2
1746431250,1283,10,12000,30,3
1746431270,3500,20,12000,20,1
1746431060,1026,100,26000,0,2
1746431200,1000,450,0,0,3
1746431090,236,0,0,-1,4
1746431010,1416,350,6500,0,2
1746431120,600,200,1000,60,4
1746431280,5725,500,25000,300,2
1746431300,408,120,350,20,2
1746431071,842,185,1316,0,2
1746431290,8000,265,2500,45,2
1746431030,400,0,800,-1,1
1746431190,5575,0,72360,40,2
1746431040,450,55,2650,50,2
1746431220,2700,200,0,50,4
1746431130,310,20,1100,0,2
1746433050,1000,200,0,0,2
1746433070,3000,0,0,0,1
1746433220,1000,0,700,200,2
1746433060,3000,140,0,100,3
1746433110,6000,300,9000,0,1
1746433150,3000,500,3000,200,2
1746433080,279,20,0,0,2
1746433190,3000,150,8000,280,2
1746433230,1500,400,800,100,2
1746433160,5000,1000,10000,320,2
1746433130,1000,350,0,1000,2
1746433140,5000,1250,2000,100,2
1746433030,3500,500,0,300,3
1746433240,5000,200,0,0,3
1746433100,2800,600,6500,100,2
1746433260,9000,70,500,200,1
1746433250,5000,550,3000,800,3
1746433040,300,0,550,0,1
1746433200,3000,200,20000,500,2
1746433090,2000,300,20000,0,3
1746432080,2500,200,0,100,2
1746432360,3000,600,0,30,3
1746432020,1000,100,0,0,2
1746432230,500,50,6000,0,1
1746432260,100,0,0,0,2
1746432100,85,25,59,0,4
1746432300,167,0,300,0,2
1746432320,6218,125,0,0,1
1746432280,1000,50,0,0,1
1746432180,420,50,200,0,1
1746432220,1061,0,3000,30,2
1746432090,1700,70,2600,0,3
1746432290,162,70,0,0,3
1746432050,2000,40,6500,120,1
1746432070,600,100,80000,100,1
1746432150,230,19,600,20,2
1746432270,412,0,300,0,1
1746432310,1250,0,530,0,1
1746432350,800,200,0,150,2
1746432190,527,5,3000,0,3
1746432110,300,95,200,20,2
1746432130,1169,350,3200,30,2
1746432250,4200,300,5640,0,2
1746432330,50,100,40,0,1
1746432010,300,70,4000,100,1
1746432340,3784,150,20000,65,2
1746432040,728,15,385,0,2
1746432160,1000,50,600,0,2
1746432200,300,0,600,0,1
1774023250,130,0,0,0,1
1774023320,2000,300,0,300,1
1774023060,4000,300,-1,0,3
1774023210,700,100,0,-1,2
1774023150,3000,280,0,200,1
1774023100,2600,530,4300,30,3
1774023360,2000,0,0,10,2
1774023300,2000,70,100,50,2
1774023350,2000,200,0,-1,2
1774023050,700,70,1500,20,4
1774023200,500,100,0,50,2
1774023260,300,100,1000,0,3
1774023140,6000,600,20000,300,2
1774023230,200,10,0,0,2
1774023270,2000,60,600,200,2
1774023010,3000,210,0,-1,1
1774023190,200,50,0,200,2
1774023090,3000,300,0,70,1
1774023340,5000,700,2000,100,2
1774023240,3500,200,0,100,2
1774023290,1000,100,0,0,1
1774023130,1500,300,0,200,2
1774023120,700,1300,0,-1,1
1774023110,500,0,0,10,1
